canvas_user_id,canvas_quiz_question_id,quetion_number,user_response

1766264,19581052,1,2
1766264,19581052,2,4
1766264,19581052,3,3
1766264,19581052,4,5
1766264,19581052,5,4
1766264,19581052,6,5
1766264,19581052,7,3
1766264,19581052,8,4

1766264,19581053,1,4
1766264,19581053,2,1
1766264,19581053,3,5
1766264,19581053,4,2
1766264,19581053,5,2
1766264,19581053,6,1

1766264,19581054,1,4
1766264,19581054,2,1
1766264,19581054,3,2
1766264,19581054,4,5
1766264,19581054,5,2
1766264,19581054,6,4
1766264,19581054,7,3
1766264,19581054,8,1

1766264,19581055,1,3
1766264,19581055,2,5
1766264,19581055,3,2
1766264,19581055,4,5
1766264,19581055,5,2

1766264,19581056,1,5
1766264,19581056,2,2
1766264,19581056,3,5
1766264,19581056,4,2
1766264,19581056,5,2
1766264,19581056,6,4

1766264,19581057,1,1
1766264,19581057,2,1
1766264,19581057,3,2
1766264,19581057,4,4

1766264,19581058,1,5
1766264,19581058,2,5
1766264,19581058,3,1
1766264,19581058,4,3
1766264,19581058,5,1

1766264,19581059,1,1
1766264,19581059,2,1
1766264,19581059,3,2
1766264,19581059,4,5
1766264,19581059,5,2

1766264,19581060,1,4
1766264,19581060,2,4
1766264,19581060,3,3
1766264,19581060,4,4
1766264,19581060,5,1
1766264,19581060,6,5
1766264,19581060,7,1

1766264,19581061,1,1
1766264,19581061,2,3
1766264,19581061,3,5
1766264,19581061,4,2
1766264,19581061,5,3
1766264,19581061,6,2

1766264,19581062,1,1
1766264,19581062,2,2
1766264,19581062,3,4
1766264,19581062,4,5

1766264,19581063,1,4
1766264,19581063,2,5
1766264,19581063,3,5
1766264,19581063,4,4
1766264,19581063,5,2

1766264,19581064,1,5
1766264,19581064,2,2
1766264,19581064,3,4
1766264,19581064,4,2
1766264,19581064,5,3

1766264,19581065,1,3
1766264,19581065,2,2
1766264,19581065,3,3
1766264,19581065,4,5

1766264,19581066,1,1
1766264,19581066,2,5
1766264,19581066,3,3
1766264,19581066,4,4
1766264,19581066,5,1
1766264,19581066,6,1

1766264,19581067,1,5
1766264,19581067,2,4
1766264,19581067,3,3
1766264,19581067,4,4
1766264,19581067,5,2
1766264,19581067,6,5
1766264,19581067,7,3
1766264,19581067,8,1

1766264,19581068,1,3
1766264,19581068,2,1
1766264,19581068,3,5
1766264,19581068,4,2

1766264,19581069,1,2
1766264,19581069,2,5
1766264,19581069,3,1
1766264,19581069,4,5
1766264,19581069,5,5
1766264,19581069,6,3

1766264,19581070,1,4
1766264,19581070,2,3
1766264,19581070,3,1
1766264,19581070,4,2
1766264,19581070,5,1
1766264,19581070,6,2
1766264,19581070,7,4

1766264,19581071,1,2
1766264,19581071,2,2
1766264,19581071,3,5
1766264,19581071,4,4
1766264,19581071,5,5

1766264,19581072,1,4
1766264,19581072,2,5
1766264,19581072,3,4
1766264,19581072,4,1
1766264,19581072,5,2
1766264,19581072,6,1

1766264,19581073,1,1
1766264,19581073,2,5
1766264,19581073,3,5
1766264,19581073,4,1
1766264,19581073,5,2

1766264,19581074,1,5
1766264,19581074,2,5
1766264,19581074,3,5
1766264,19581074,4,3
1766264,19581074,5,2
1766264,19581074,6,3
1766264,19581074,7,1
1766264,19581074,8,4

1766264,19581075,1,3
1766264,19581075,2,2
1766264,19581075,3,2
1766264,19581075,4,4
1766264,19581075,5,4
1766264,19581075,6,5

1766264,19581076,1,5
1766264,19581076,2,4
1766264,19581076,3,3
1766264,19581076,4,2
1766264,19581076,5,2

1766264,19581077,1,4
1766264,19581077,2,1
1766264,19581077,3,5
1766264,19581077,4,2
1766264,19581077,5,4
1766264,19581077,6,2
1766264,19581077,7,3

1766264,19581078,1,3
1766264,19581078,2,2
1766264,19581078,3,2
1766264,19581078,4,1
1766264,19581078,5,5
1766264,19581078,6,3
1766264,19581078,7,4

1766264,19581079,1,4
1766264,19581079,2,2
1766264,19581079,3,4
1766264,19581079,4,2
1766264,19581079,5,1
1766264,19581079,6,5

1766264,19581080,1,3
1766264,19581080,2,2
1766264,19581080,3,5
1766264,19581080,4,2
1766264,19581080,5,2

1766264,19581081,1,5
1766264,19581081,2,4
1766264,19581081,3,4
1766264,19581081,4,1
